Ticker,Category Name,Family,Legal Type,Annual Report Expense Ratio,Annual Holdings Turnover,Total Net Assets,Cash Position,Stock Position,Bond Position,Preferred Position,Convertible Position,Other Position,Price/Earnings,Price/Book,Price/Sales,Price/Cashflow,Median Market Cap,3 Year Earnings Growth,Duration,Maturity,Credit Quality,Bb,Aa,Aaa,A,Other,B,Bbb,Below B,Us Government,Realestate,Consumer Cyclical,Basic Materials,Consumer Defensive,Technology,Communication Services,Financial Services,Utilities,Industrials,Energy,Healthcare,Top Position 1,Top Position 2,Top Position 3,Top Position 4,Top Position 5,Top Position 6,Top Position 7,Top Position 8,Top Position 9,Top Position 10,Weight of Top Position 1,Weight of Top Position 2,Weight of Top Position 3,Weight of Top Position 4,Weight of Top Position 5,Weight of Top Position 6,Weight of Top Position 7,Weight of Top Position 8,Weight of Top Position 9,Weight of Top Position 10,Ticker
ABEQ,Large Value,Absolute Investment Advisers,Exchange Traded Fund,0.0085,0.18,90831.26,0.0998,0.78370005,0.1165,0.0,0.0,0.0,0.05516,0.41671,0.46702,0.0791,,,0.71,,,,,,,,,,,0.16540001,0.0,0.0,0.1985,0.1469,0.0254,0.0372,0.3061,0.0173,0.0776,0.107700005,0.0832,BRK-B,L,UL,FNV.TO,ENB.TO,AEM.TO,MDT,TRV,CTVA,,11.72,6.79,6.58,5.88,5.68,4.74,4.05,3.96,3.36,,ABEQ
ABFL,Large Blend,FCF Funds,Exchange Traded Fund,0.0049,0.7,86733.29,0.0066000004,0.9934,0.0,0.0,0.0,0.0,0.03126,0.0707,0.17971,0.04759,,,,,,,,,,,,,,0.0,0.0,0.1171,0.0,0.0788,0.509,0.075500004,0.0428,0.0,0.043899998,0.0,0.133,AAPL,MA,PM,APP,BKNG,SPOT,ZS,ABBV,ADBE,GILD,4.62,3.39,3.39,3.23,3.11,2.98,2.94,2.9,2.59,2.58,ABFL
ABIG,Large Blend,Argent,Exchange Traded Fund,0.0049,0.0,320542.9,0.0159,0.98410004,0.0,0.0,0.0,0.0,0.03698,0.14946,0.25284,0.05236,,,,,,,,,,,,,,0.0,0.0,0.1552,0.0,0.0,0.3163,0.0779,0.17909999,0.0128,0.1609,0.02,0.0779,AMZN,MSFT,MA,GOOGL,NVDA,AAPL,TDG,PGR,V,AMAT,8.73,8.23,5.35,5.16,5.06,5.01,4.47,4.32,3.98,3.35,ABIG
ABLS,Small Blend,FCF Funds,Exchange Traded Fund,0.0039,0.0,3012.88,0.0139,0.9861,0.0,0.0,0.0,0.0,0.05009,0.2527,0.6426,0.09148,,,,,,,,,,,,,,0.0,0.0,0.065,0.049200002,0.0327,0.35369998,0.020599999,0.17709999,0.0,0.1402,0.028499998,0.1331,CORT,ENVA,CVLT,FIX,BMI,BOX,PJT,WDFC,PRGS,APAM,7.84,4.36,4.11,3.32,3.21,3.1,2.94,2.74,2.67,2.63,ABLS
ABNY,Derivative Income,YieldMax ETFs,Exchange Traded Fund,0.0106,0.46,0.0,0.5166,0.1058,0.37759998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.02,9.942,,,,,,,,,,0.6184,,,,,,,,,,,,FGXXX,,,,,,,,,,11.4,,,,,,,,,,ABNY
ACES,Miscellaneous Sector,ALPS,Exchange Traded Fund,0.0055,0.32,4978.59,0.0023,0.9977,0.0,0.0,0.0,0.0,0.04794,0.69648,0.7566,0.13198,,,,,,,,,,,,,,0.0,0.0,0.1881,0.056900002,0.0671,0.2707,0.0,0.040799998,0.2882,0.083000004,0.0052,0.0,NXT,TSLA,RIVN,FSLR,NPI.TO,ITRI,BEP-UN.TO,ORA,LCID,DAR,6.63,6.4,6.32,5.52,5.32,5.31,5.13,5.11,4.72,4.7,ACES
ACIO,Equity Hedged,APTUS ETFs,Exchange Traded Fund,0.007900001,0.24,423115.6,-0.0032,1.0032,0.0,0.0,0.0,0.0,0.04024,0.19075,0.24778,0.05176,,,,,,,,,,,,,,0.0,0.021300001,0.10479999,0.0178,0.059699997,0.33810002,0.095699996,0.1362,0.0239,0.0773,0.0296,0.0956,MSFT,NVDA,AAPL,AMZN,GOOG,META,AVGO,V,TSLA,,6.82,6.58,6.0,3.85,3.62,2.82,2.62,2.15,1.93,,ACIO
ACLO,Ultrashort Bond,TCW ETF,Exchange Traded Fund,0.002,0.0,0.0,0.0064,0.0,0.9732,0.0,0.0,0.020399999,0.0,0.0,0.0,0.0,,,5.48,10.046,,0.0,0.08939999,0.9117,0.0,-0.0011,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACLO
ACSI,Large Blend,Exponential ETFs,Exchange Traded Fund,0.0064999997,0.6,191001.47,0.0023,0.9977,0.0,0.0,0.0,0.0,0.04508,0.27655,0.57174,0.06598,,,,,,,,,,,,,,0.0,0.0,0.2917,0.0,0.11229999,0.105500005,0.21219999,0.1393,0.038,0.049200002,0.0,0.0519,AAPL,COST,META,MSFT,AMZN,JPM,GOOG,NFLX,KO,SCHW,5.85,4.93,4.69,4.68,4.38,4.3,4.28,3.87,3.77,3.51,ACSI
ACTV,Small Value,"Redwood Investment Management, LLC",Exchange Traded Fund,0.0075,0.9,97368.28,0.1942,0.8057,0.0,0.0,0.0,0.0,0.04435,0.31098,0.47541,0.08065,,,,,,,,,,,,,,0.0,0.0864,0.12560001,0.0125,0.0766,0.2721,0.113400005,0.0995,0.024600001,0.0787,0.0223,0.0883,VOO,SPY,FOAXX,QSR.TO,MTCH,HHH,HR,LW,RPD,VSTS,36.0,21.56,18.93,3.61,2.92,2.91,2.78,2.71,1.75,1.3,ACTV
